Keyword,Search Volume (mensal),Difficulty (0-100),Intent,Priority,Content Type,Current Ranking,Opportunity Score
automação de processos com n8n,150,45,Educational,Pillar (High),Pillar Page,Not ranking,95
como implementar RPA,180,38,Educational,Pillar (High),Pillar Page,Not ranking,94
agentes de IA para empresas,120,52,Commercial,Pillar (High),Pillar Page,Not ranking,92
automação sem código,250,60,Informational,Pillar (High),Pillar Page,Not ranking,90
workflow automação,110,35,Educational,Cluster (Medium),Blog Post,Not ranking,88
integração de sistemas n8n,140,42,Commercial,Cluster (Medium),Blog Post,Not ranking,88
relatórios automáticos,140,38,Commercial,Cluster (Medium),Blog Post,Not ranking,86
implementar agentes ia,60,48,Educational,Cluster (High),Blog Post,Not ranking,85
automação e-commerce,200,55,Commercial,Cluster (High),Vertical Hub,Page 2 (Pos 18),85
n8n vs zapier,95,50,Commercial,Comparison (High),Comparison Post,Page 2 (Pos 9),84
roi automação,100,40,Commercial,Cluster (High),Blog Post,Page 3 (Pos 22),82
automação rh onboarding,85,30,Commercial,Cluster (Medium),Vertical Hub,Not ranking,82
automação financeira,75,40,Commercial,Cluster (Medium),Vertical Hub,Not ranking,80
integrações api,160,52,Educational,Cluster (Medium),Blog Post,Not ranking,80
automação pós-venda,80,25,Commercial,Cluster (Medium),Case Study,Not ranking,78
automação aws,110,48,Informational,Cluster (Medium),Blog Post,Page 2 (Pos 20),78
n8n vs make,70,45,Comparison,Comparison (Medium),Comparison Post,Not ranking,76
n8n Brasil,90,35,Informational,Cluster (Medium),Blog Post,Page 2 (Pos 15),75
estoque automatizado,70,28,Commercial,Cluster (Medium),Case Study,Not ranking,75
custo de automação,130,35,Informational,Cluster (Medium),Blog Post,Not ranking,74
